,sentiments
11652,neutral
7240,positive
16483,positive
13353,positive
6024,positive
15065,positive
3879,positive
7267,negative
15285,positive
8234,positive
15972,positive
10432,neutral
11355,neutral
10071,neutral
2414,positive
1506,negative
5534,positive
10416,neutral
3158,positive
13628,neutral
8463,positive
6848,positive
10306,neutral
762,positive
9832,positive
8440,negative
15115,neutral
4001,positive
7456,positive
14251,neutral
17175,positive
17064,neutral
6326,positive
13673,positive
1198,negative
13307,positive
11108,positive
4910,positive
2573,negative
8536,positive
14022,neutral
9364,positive
14168,neutral
5414,neutral
8727,positive
14994,positive
11571,negative
811,neutral
8703,negative
15397,positive
10298,neutral
8908,neutral
11863,positive
9023,positive
16563,positive
9512,positive
514,neutral
11480,neutral
7078,positive
5994,positive
11291,neutral
452,neutral
13224,neutral
12802,positive
13434,positive
14952,positive
2277,neutral
8982,neutral
6858,positive
3627,neutral
3456,positive
11460,neutral
2317,negative
7652,neutral
12155,positive
8042,positive
16659,positive
12488,positive
6301,neutral
16182,neutral
8297,negative
12825,positive
1947,negative
16929,neutral
2386,negative
5439,positive
3083,positive
3953,neutral
1642,positive
7682,neutral
1812,neutral
17252,neutral
9088,neutral
5081,neutral
14951,positive
5003,positive
13385,positive
3425,positive
13060,positive
10144,positive
6215,neutral
16618,neutral
16400,neutral
17211,positive
15015,positive
3308,negative
5251,negative
8673,neutral
3119,neutral
793,neutral
561,neutral
5368,neutral
14524,negative
3496,positive
12966,positive
4768,neutral
3297,positive
15156,neutral
15320,positive
1146,positive
13641,positive
6434,neutral
8941,neutral
2388,positive
2409,positive
14340,neutral
14885,positive
15430,positive
3567,positive
16479,positive
15036,positive
522,neutral
480,positive
16292,neutral
16903,positive
2373,neutral
10835,positive
8392,positive
5879,neutral
1774,positive
9133,positive
10816,neutral
704,neutral
15401,positive
1877,positive
6367,positive
14112,positive
4727,positive
10050,positive
15736,positive
5138,positive
7523,neutral
4335,positive
5489,positive
13501,positive
11206,positive
1924,neutral
9863,negative
5356,neutral
4883,positive
14910,positive
14097,neutral
11868,positive
10820,positive
12260,positive
9242,positive
8468,positive
4497,neutral
132,positive
16327,positive
1180,neutral
14965,positive
3542,negative
16652,positive
8495,neutral
1378,positive
965,neutral
6904,negative
9899,positive
8828,negative
9083,negative
16203,positive
8452,neutral
15672,positive
13850,positive
13261,positive
12857,neutral
15592,positive
4794,negative
14453,positive
3697,positive
5725,neutral
4611,neutral
11320,neutral
3727,positive
7307,positive
245,neutral
16531,neutral
6240,positive
4118,neutral
3620,neutral
10009,neutral
8282,negative
4201,neutral
6714,positive
2645,positive
12750,neutral
11899,neutral
3962,neutral
12783,positive
3391,neutral
3399,neutral
2646,neutral
11568,positive
7942,neutral
12733,negative
8082,positive
4577,neutral
5313,neutral
9199,neutral
126,positive
694,neutral
4758,positive
12098,positive
11204,positive
6305,positive
7225,neutral
5743,positive
16027,positive
16079,positive
2192,positive
5731,neutral
336,neutral
8513,neutral
8626,positive
12054,positive
9007,positive
6917,positive
2844,neutral
306,negative
13566,positive
4312,positive
5025,neutral
15537,neutral
8586,positive
3175,positive
13465,positive
5106,positive
5820,neutral
777,neutral
16666,positive
819,positive
1296,neutral
2994,positive
16347,positive
10549,positive
829,neutral
1749,neutral
10856,neutral
11326,neutral
11486,positive
9542,neutral
15227,positive
10260,neutral
8344,positive
12891,positive
3932,positive
523,negative
6244,negative
5569,positive
4260,positive
13295,positive
17134,neutral
15951,neutral
7554,neutral
13365,positive
5131,neutral
17287,neutral
14248,neutral
5639,neutral
14290,positive
2834,neutral
10826,positive
17024,positive
10573,positive
12927,neutral
14491,positive
9575,negative
2830,positive
14452,neutral
9736,positive
9515,positive
4480,neutral
7831,positive
14905,neutral
6269,positive
12173,positive
14532,positive
11297,neutral
5570,neutral
16920,positive
7454,positive
5235,neutral
1102,neutral
7289,neutral
16593,neutral
16998,positive
8599,neutral
8225,neutral
5700,positive
7761,positive
2474,neutral
12842,positive
10431,positive
12981,positive
10046,neutral
2710,negative
11152,neutral
3928,positive
3028,neutral
525,positive
6903,positive
12589,positive
12341,neutral
8903,positive
12051,positive
12304,positive
3771,positive
7636,positive
15821,neutral
267,neutral
4197,neutral
9627,positive
8781,neutral
4950,positive
4196,positive
1858,neutral
11435,positive
12772,positive
5921,negative
11409,positive
8130,positive
4958,neutral
9200,positive
1830,positive
6654,positive
1481,positive
3154,neutral
13505,positive
3769,positive
3531,negative
13901,neutral
5579,neutral
15532,positive
10012,positive
13997,positive
11086,positive
15589,positive
8882,positive
2319,neutral
4622,negative
5517,neutral
11713,positive
15746,positive
1878,positive
13608,positive
1380,positive
3973,positive
2505,neutral
13924,positive
3122,positive
12362,positive
3702,positive
11242,neutral
1948,negative
6748,positive
6484,neutral
2548,neutral
15788,neutral
10974,positive
14990,neutral
1788,positive
1568,positive
14780,positive
14628,neutral
1630,neutral
8838,positive
531,positive
4472,positive
7563,positive
1651,neutral
15139,neutral
10398,negative
265,neutral
3251,positive
3854,positive
12651,positive
14143,positive
9057,positive
6593,positive
10439,positive
15057,positive
9213,positive
6936,negative
7959,positive
4700,neutral
3406,neutral
5705,positive
10344,positive
931,positive
5009,neutral
2203,neutral
5786,neutral
12581,positive
3471,positive
15418,positive
8651,neutral
7799,neutral
14947,neutral
76,positive
2820,neutral
16556,positive
13528,positive
7708,positive
13861,positive
7246,neutral
15159,neutral
4002,neutral
15380,neutral
13807,positive
10323,neutral
2375,neutral
3021,neutral
4311,neutral
11096,neutral
6183,neutral
11926,positive
3024,positive
9995,positive
5775,positive
1085,positive
14664,neutral
1724,neutral
1049,positive
7312,neutral
15611,neutral
5644,neutral
17267,positive
15233,positive
14438,positive
1454,neutral
999,positive
964,negative
13165,neutral
13962,positive
9414,positive
13749,neutral
5253,negative
1340,neutral
1300,neutral
13319,neutral
9063,positive
3723,neutral
10763,positive
1471,negative
1743,negative
10139,neutral
14087,neutral
6136,neutral
2082,positive
709,positive
9695,positive
13959,positive
10240,positive
13253,positive
15572,positive
10099,neutral
1561,positive
13781,positive
11923,positive
14390,positive
331,positive
3355,neutral
227,neutral
7361,neutral
5142,neutral
6536,negative
9043,positive
6138,neutral
17198,positive
10114,negative
1712,positive
15415,positive
1956,negative
5420,neutral
9263,positive
9993,neutral
9061,neutral
2294,neutral
10013,neutral
8340,negative
4723,positive
13542,positive
4563,neutral
13942,positive
5574,positive
12418,neutral
2330,negative
10576,positive
3900,positive
12143,positive
1588,neutral
11391,positive
12114,positive
14067,neutral
7828,neutral
13522,neutral
3027,neutral
4364,positive
10170,neutral
14190,positive
17059,positive
1860,positive
6940,positive
9855,positive
7860,negative
12115,positive
12836,positive
1060,neutral
16831,neutral
1943,positive
16826,positive
11520,negative
1908,neutral
14258,positive
7327,positive
16800,positive
5189,negative
701,neutral
8426,neutral
9457,neutral
7104,positive
11499,positive
2392,neutral
154,neutral
14091,positive
10175,positive
8597,positive
9871,positive
7239,neutral
358,neutral
11522,positive
8457,negative
3863,positive
7368,neutral
5206,neutral
12931,neutral
5085,neutral
1466,neutral
10224,neutral
8091,positive
17180,positive
4687,positive
16215,positive
2746,positive
12607,positive
5204,positive
959,neutral
16999,positive
10491,neutral
9218,positive
5642,positive
3772,positive
7268,neutral
14770,positive
1966,negative
8890,positive
2045,positive
3780,neutral
6511,negative
16871,positive
631,neutral
6530,neutral
13770,neutral
8001,neutral
570,neutral
1093,positive
11949,positive
15443,positive
16399,neutral
5500,neutral
1864,positive
5518,neutral
11952,positive
15080,neutral
13114,neutral
13898,positive
9359,positive
16059,positive
11185,neutral
678,positive
5649,positive
8128,neutral
12108,positive
547,positive
5665,neutral
14813,positive
8636,negative
12041,positive
3292,positive
6591,negative
17147,positive
4272,positive
11861,positive
17251,positive
16992,negative
12569,neutral
15407,neutral
14018,positive
9757,negative
575,positive
16641,positive
8139,positive
6126,negative
13853,positive
3230,positive
11011,positive
11196,neutral
5191,neutral
14626,positive
9744,positive
12006,positive
11503,neutral
14034,positive
16904,neutral
13268,positive
815,positive
1871,neutral
6749,neutral
11959,positive
8579,neutral
8830,positive
7105,positive
722,positive
14732,neutral
12024,positive
17073,positive
17121,positive
13025,positive
400,neutral
789,positive
